acquisition_date,product_name,cdse_product_id,online_status,mission_platform_prefix,product_storage_type,candidate_role,query_profile,source_url,blocker_note
2025-11-23T23:03:09.290537Z,S1A_IW_GRDH_1SDV_20251123T230309_20251123T230334_062011_07C1DB_9231_COG.SAFE,325e23d5-9ba6-439e-bac9-8d7efac83cac,True,S1A,COG,event-window COG candidate,hat_yai_2025,"https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$filter=Collection/Name+eq+'SENTINEL-1'+and+contains(Name,'IW_GRDH_1SDV')+and+ContentDate/Start+ge+2025-11-17T00:00:00.000Z+and+ContentDate/Start+le+2025-12-05T23:59:59.999Z+and+OData.CSC.Intersects(area=geography'SRID=4326;POINT(100.47+7.01)')&$orderby=ContentDate/Start+asc&$top=50","download not performed; Charter, Sentinel Asia, and GISTDA geometry access and license status not confirmed"
2025-11-23T23:03:09.290537Z,S1A_IW_GRDH_1SDV_20251123T230309_20251123T230334_062011_07C1DB_15C6.SAFE,d80b81cb-c4aa-4dbb-a7de-8a1d01fca2dc,True,S1A,SAFE,event-window SAFE alternative,hat_yai_2025,"https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$filter=Collection/Name+eq+'SENTINEL-1'+and+contains(Name,'IW_GRDH_1SDV')+and+ContentDate/Start+ge+2025-11-17T00:00:00.000Z+and+ContentDate/Start+le+2025-12-05T23:59:59.999Z+and+OData.CSC.Intersects(area=geography'SRID=4326;POINT(100.47+7.01)')&$orderby=ContentDate/Start+asc&$top=50","download not performed; Charter, Sentinel Asia, and GISTDA geometry access and license status not confirmed"
2025-11-29T11:35:21.012344Z,S1A_IW_GRDH_1SDV_20251129T113521_20251129T113546_062092_07C503_DDA0.SAFE,61f1bb34-e9bd-47b5-85a3-0472b50bf620,True,S1A,SAFE,event-window SAFE alternative,hat_yai_2025,"https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$filter=Collection/Name+eq+'SENTINEL-1'+and+contains(Name,'IW_GRDH_1SDV')+and+ContentDate/Start+ge+2025-11-17T00:00:00.000Z+and+ContentDate/Start+le+2025-12-05T23:59:59.999Z+and+OData.CSC.Intersects(area=geography'SRID=4326;POINT(100.47+7.01)')&$orderby=ContentDate/Start+asc&$top=50","download not performed; Charter, Sentinel Asia, and GISTDA geometry access and license status not confirmed"
2025-11-29T11:35:21.012344Z,S1A_IW_GRDH_1SDV_20251129T113521_20251129T113546_062092_07C503_E655_COG.SAFE,77afe9fe-ad3f-4fe1-872f-01bf801c742b,True,S1A,COG,event-window COG candidate,hat_yai_2025,"https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$filter=Collection/Name+eq+'SENTINEL-1'+and+contains(Name,'IW_GRDH_1SDV')+and+ContentDate/Start+ge+2025-11-17T00:00:00.000Z+and+ContentDate/Start+le+2025-12-05T23:59:59.999Z+and+OData.CSC.Intersects(area=geography'SRID=4326;POINT(100.47+7.01)')&$orderby=ContentDate/Start+asc&$top=50","download not performed; Charter, Sentinel Asia, and GISTDA geometry access and license status not confirmed"
2025-11-29T23:01:52.466000Z,S1C_IW_GRDH_1SDV_20251129T230152_20251129T230221_005235_00A644_B1DA_COG.SAFE,96eb3dd0-0049-411b-919a-5091c94e4406,True,S1C,COG,event-window COG candidate,hat_yai_2025,"https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$filter=Collection/Name+eq+'SENTINEL-1'+and+contains(Name,'IW_GRDH_1SDV')+and+ContentDate/Start+ge+2025-11-17T00:00:00.000Z+and+ContentDate/Start+le+2025-12-05T23:59:59.999Z+and+OData.CSC.Intersects(area=geography'SRID=4326;POINT(100.47+7.01)')&$orderby=ContentDate/Start+asc&$top=50","download not performed; Charter, Sentinel Asia, and GISTDA geometry access and license status not confirmed"
2025-11-29T23:01:52.466000Z,S1C_IW_GRDH_1SDV_20251129T230152_20251129T230221_005235_00A644_AF72.SAFE,99b5426b-8464-4691-9648-72cf37dd84c2,True,S1C,SAFE,event-window SAFE alternative,hat_yai_2025,"https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$filter=Collection/Name+eq+'SENTINEL-1'+and+contains(Name,'IW_GRDH_1SDV')+and+ContentDate/Start+ge+2025-11-17T00:00:00.000Z+and+ContentDate/Start+le+2025-12-05T23:59:59.999Z+and+OData.CSC.Intersects(area=geography'SRID=4326;POINT(100.47+7.01)')&$orderby=ContentDate/Start+asc&$top=50","download not performed; Charter, Sentinel Asia, and GISTDA geometry access and license status not confirmed"
2025-12-05T11:34:26.774000Z,S1C_IW_GRDH_1SDV_20251205T113426_20251205T113453_005316_00A908_F357_COG.SAFE,443e046e-4f2b-4db6-bf3b-136f25c6f901,True,S1C,COG,event-window COG candidate,hat_yai_2025,"https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$filter=Collection/Name+eq+'SENTINEL-1'+and+contains(Name,'IW_GRDH_1SDV')+and+ContentDate/Start+ge+2025-11-17T00:00:00.000Z+and+ContentDate/Start+le+2025-12-05T23:59:59.999Z+and+OData.CSC.Intersects(area=geography'SRID=4326;POINT(100.47+7.01)')&$orderby=ContentDate/Start+asc&$top=50","download not performed; Charter, Sentinel Asia, and GISTDA geometry access and license status not confirmed"
2025-12-05T11:34:26.774000Z,S1C_IW_GRDH_1SDV_20251205T113426_20251205T113453_005316_00A908_F30B.SAFE,95537190-81cf-4b8e-aee8-eae8a1b4d3dc,True,S1C,SAFE,event-window SAFE alternative,hat_yai_2025,"https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$filter=Collection/Name+eq+'SENTINEL-1'+and+contains(Name,'IW_GRDH_1SDV')+and+ContentDate/Start+ge+2025-11-17T00:00:00.000Z+and+ContentDate/Start+le+2025-12-05T23:59:59.999Z+and+OData.CSC.Intersects(area=geography'SRID=4326;POINT(100.47+7.01)')&$orderby=ContentDate/Start+asc&$top=50","download not performed; Charter, Sentinel Asia, and GISTDA geometry access and license status not confirmed"
2025-12-05T23:03:07.854162Z,S1A_IW_GRDH_1SDV_20251205T230307_20251205T230332_062186_07C8AD_13BD_COG.SAFE,386ccf2d-2253-40bc-99bd-fa19bbc3c6dd,True,S1A,COG,event-window COG candidate,hat_yai_2025,"https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$filter=Collection/Name+eq+'SENTINEL-1'+and+contains(Name,'IW_GRDH_1SDV')+and+ContentDate/Start+ge+2025-11-17T00:00:00.000Z+and+ContentDate/Start+le+2025-12-05T23:59:59.999Z+and+OData.CSC.Intersects(area=geography'SRID=4326;POINT(100.47+7.01)')&$orderby=ContentDate/Start+asc&$top=50","download not performed; Charter, Sentinel Asia, and GISTDA geometry access and license status not confirmed"
2025-12-05T23:03:07.854162Z,S1A_IW_GRDH_1SDV_20251205T230307_20251205T230332_062186_07C8AD_51EC.SAFE,e641d58b-bc6d-4463-a49d-2ecebf2b64c2,True,S1A,SAFE,event-window SAFE alternative,hat_yai_2025,"https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$filter=Collection/Name+eq+'SENTINEL-1'+and+contains(Name,'IW_GRDH_1SDV')+and+ContentDate/Start+ge+2025-11-17T00:00:00.000Z+and+ContentDate/Start+le+2025-12-05T23:59:59.999Z+and+OData.CSC.Intersects(area=geography'SRID=4326;POINT(100.47+7.01)')&$orderby=ContentDate/Start+asc&$top=50","download not performed; Charter, Sentinel Asia, and GISTDA geometry access and license status not confirmed"
