activation_code,activation_name,countries,event_time,activation_time,aoi_number,aoi_name,aoi_bbox_lon_min,aoi_bbox_lat_min,aoi_bbox_lon_max,aoi_bbox_lat_max,mae_sai_point_in_aoi_bbox,hat_yai_point_in_aoi_bbox,product_id,product_name,product_type,monitoring,monitoring_number,version_number,version_status,delivery_time,download_url,product_date,sensor_names,layer_names,observed_event_layer_present,flood_layer_present,candidate_role,mae_sai_reference_relevance,download_performed,processing_allowed,reason_blocked,source_url,retrieved_at_utc
EMSR754,Flood in Viet Nam,Viet Nam,2024-09-09T06:00:00,2024-09-11T16:00:00,1,Co Tiet,105.227676,21.241987,105.31695,21.353184,False,False,1013,EMSR754_AOI01_DEL_PRODUCT_v2.zip,DEL,False,0,2,F,2024-10-15T11:13:10.443121,https://rapidmapping.emergency.copernicus.eu/backend/EMSR754/AOI01/DEL_PRODUCT/EMSR754_AOI01_DEL_PRODUCT_v2.zip,2024-09-14T03:32:00,GeoEye-1,EMSR754/AOI01/DEL_PRODUCT/EMSR754_AOI01_DEL_PRODUCT_GEOEYE1_20240914_0332_ORTHO.tif|EMSR754/AOI01/DEL_PRODUCT/EMSR754_AOI01_DEL_PRODUCT_ancillaryCrisisInfoP_v2_VT|EMSR754/AOI01/DEL_PRODUCT/EMSR754_AOI01_DEL_PRODUCT_floodDepthA_v2_VT|EMSR754/AOI01/DEL_PRODUCT/EMSR754_AOI01_DEL_PRODUCT_observedEventA_v2_VT,True,True,flood_product_outside_current_mvp,not_relevant_country_or_aoi_for_mae_sai,False,False,CEMS metadata resolved without product download; AOI does not cover Mae Sai or exact product relevance is not cleared,https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations/?code=EMSR754,2026-07-08T05:45:12Z
EMSR754,Flood in Viet Nam,Viet Nam,2024-09-09T06:00:00,2024-09-11T16:00:00,2,Nong Trang,105.313323,21.218766,105.506169,21.411561,False,False,1020,EMSR754_AOI02_DEL_PRODUCT_v2.zip,DEL,False,0,2,F,2024-10-15T11:13:53.366253,https://rapidmapping.emergency.copernicus.eu/backend/EMSR754/AOI02/DEL_PRODUCT/EMSR754_AOI02_DEL_PRODUCT_v2.zip,2024-09-13T03:57:00,WorldView-3,EMSR754/AOI02/DEL_PRODUCT/EMSR754_AOI02_DEL_PRODUCT_WORLDVIEW3_20240913_0357_ORTHO.tif|EMSR754/AOI02/DEL_PRODUCT/EMSR754_AOI02_DEL_PRODUCT_floodDepthA_v2_VT|EMSR754/AOI02/DEL_PRODUCT/EMSR754_AOI02_DEL_PRODUCT_observedEventA_v2_VT,True,True,flood_product_outside_current_mvp,not_relevant_country_or_aoi_for_mae_sai,False,False,CEMS metadata resolved without product download; AOI does not cover Mae Sai or exact product relevance is not cleared,https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations/?code=EMSR754,2026-07-08T05:45:12Z
EMSR754,Flood in Viet Nam,Viet Nam,2024-09-09T06:00:00,2024-09-11T16:00:00,3,Hanoi,105.721256,20.891333,105.943664,21.125294,False,False,1017,EMSR754_AOI03_DEL_PRODUCT_v1.zip,DEL,False,0,1,F,2024-09-15T03:56:34.021541,https://rapidmapping.emergency.copernicus.eu/backend/EMSR754/AOI03/DEL_PRODUCT/EMSR754_AOI03_DEL_PRODUCT_v1.zip,2024-09-14T03:44:00,WorldView-3,EMSR754/AOI03/DEL_PRODUCT/EMSR754_AOI03_DEL_PRODUCT_WORLDVIEW2_20240914_0344_ORTHO.tif|EMSR754/AOI03/DEL_PRODUCT/EMSR754_AOI03_DEL_PRODUCT_floodDepthA_v1_VT|EMSR754/AOI03/DEL_PRODUCT/EMSR754_AOI03_DEL_PRODUCT_observedEventA_v1_VT,True,True,flood_product_outside_current_mvp,not_relevant_country_or_aoi_for_mae_sai,False,False,CEMS metadata resolved without product download; AOI does not cover Mae Sai or exact product relevance is not cleared,https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations/?code=EMSR754,2026-07-08T05:45:12Z
EMSR754,Flood in Viet Nam,Viet Nam,2024-09-09T06:00:00,2024-09-11T16:00:00,4,Ha Long,106.967346,20.929065,107.186164,21.064888,False,False,1014,EMSR754_AOI04_DEL_PRODUCT_v1.zip,DEL,False,0,1,F,2024-09-14T01:47:25.553652,https://rapidmapping.emergency.copernicus.eu/backend/EMSR754/AOI04/DEL_PRODUCT/EMSR754_AOI04_DEL_PRODUCT_v1.zip,2024-09-13T03:16:00,Pleiades,EMSR754/AOI04/DEL_PRODUCT/EMSR754_AOI04_DEL_PRODUCT_PLEIADES_20240913_0316_ORTHO.tif|EMSR754/AOI04/DEL_PRODUCT/EMSR754_AOI04_DEL_PRODUCT_floodDepthA_v1_VT|EMSR754/AOI04/DEL_PRODUCT/EMSR754_AOI04_DEL_PRODUCT_observedEventA_v1_VT,True,True,flood_product_outside_current_mvp,not_relevant_country_or_aoi_for_mae_sai,False,False,CEMS metadata resolved without product download; AOI does not cover Mae Sai or exact product relevance is not cleared,https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations/?code=EMSR754,2026-07-08T05:45:12Z
EMSR754,Flood in Viet Nam,Viet Nam,2024-09-09T06:00:00,2024-09-11T16:00:00,5,Hai Phong,106.607842,20.659613,106.920835,20.911408,False,False,1016,EMSR754_AOI05_DEL_PRODUCT_v1.zip,DEL,False,0,1,F,2024-09-14T14:11:20.391973,https://rapidmapping.emergency.copernicus.eu/backend/EMSR754/AOI05/DEL_PRODUCT/EMSR754_AOI05_DEL_PRODUCT_v1.zip,2024-09-14T03:42:00,WorldView-2,EMSR754/AOI05/DEL_PRODUCT/EMSR754_AOI05_DEL_PRODUCT_WORLDVIEW2_20240914_0342_ORTHO.tif|EMSR754/AOI05/DEL_PRODUCT/EMSR754_AOI05_DEL_PRODUCT_floodDepthA_v1_VT|EMSR754/AOI05/DEL_PRODUCT/EMSR754_AOI05_DEL_PRODUCT_observedEventA_v1_VT,True,True,flood_product_outside_current_mvp,not_relevant_country_or_aoi_for_mae_sai,False,False,CEMS metadata resolved without product download; AOI does not cover Mae Sai or exact product relevance is not cleared,https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations/?code=EMSR754,2026-07-08T05:45:12Z
EMSR754,Flood in Viet Nam,Viet Nam,2024-09-09T06:00:00,2024-09-11T16:00:00,6,Thai Binh,106.247226,20.392193,106.422443,20.521696,False,False,1021,EMSR754_AOI06_DEL_PRODUCT_v1.zip,DEL,False,0,1,F,2024-09-20T15:39:02.350723,https://rapidmapping.emergency.copernicus.eu/backend/EMSR754/AOI06/DEL_PRODUCT/EMSR754_AOI06_DEL_PRODUCT_v1.zip,2024-09-20T03:27:00,WorldView-2,EMSR754/AOI06/DEL_PRODUCT/EMSR754_AOI06_DEL_PRODUCT_WORLDVIEW2_20240920_0327_ORTHO.tif|EMSR754/AOI06/DEL_PRODUCT/EMSR754_AOI06_DEL_PRODUCT_floodDepthA_v1_VT|EMSR754/AOI06/DEL_PRODUCT/EMSR754_AOI06_DEL_PRODUCT_observedEventA_v1_VT,True,True,flood_product_outside_current_mvp,not_relevant_country_or_aoi_for_mae_sai,False,False,CEMS metadata resolved without product download; AOI does not cover Mae Sai or exact product relevance is not cleared,https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations/?code=EMSR754,2026-07-08T05:45:12Z
EMSR754,Flood in Viet Nam,Viet Nam,2024-09-09T06:00:00,2024-09-11T16:00:00,7,Nam Dinh,106.130716,20.362445,106.249745,20.500472,False,False,1018,EMSR754_AOI07_DEL_PRODUCT_v1.zip,DEL,False,0,1,F,2024-09-14T16:17:35.126341,https://rapidmapping.emergency.copernicus.eu/backend/EMSR754/AOI07/DEL_PRODUCT/EMSR754_AOI07_DEL_PRODUCT_v1.zip,2024-09-14T03:45:00,WorldView-2,EMSR754/AOI07/DEL_PRODUCT/EMSR754_AOI07_DEL_PRODUCT_WORLDVIEW2_20240914_0345_ORTHO.tif|EMSR754/AOI07/DEL_PRODUCT/EMSR754_AOI07_DEL_PRODUCT_floodDepthA_v1_VT|EMSR754/AOI07/DEL_PRODUCT/EMSR754_AOI07_DEL_PRODUCT_observedEventA_v1_VT,True,True,flood_product_outside_current_mvp,not_relevant_country_or_aoi_for_mae_sai,False,False,CEMS metadata resolved without product download; AOI does not cover Mae Sai or exact product relevance is not cleared,https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations/?code=EMSR754,2026-07-08T05:45:12Z
EMSR754,Flood in Viet Nam,Viet Nam,2024-09-09T06:00:00,2024-09-11T16:00:00,8,Thanh Hoa,105.724228,19.757348,105.856294,19.890949,False,False,1022,EMSR754_AOI08_DEL_PRODUCT_v1.zip,DEL,False,0,1,F,2024-09-14T18:40:32.303395,https://rapidmapping.emergency.copernicus.eu/backend/EMSR754/AOI08/DEL_PRODUCT/EMSR754_AOI08_DEL_PRODUCT_v1.zip,2024-09-14T03:45:00,WorldView-2,EMSR754/AOI08/DEL_PRODUCT/EMSR754_AOI08_DEL_PRODUCT_WORLDVIEW2_20240914_0345_ORTHO.tif|EMSR754/AOI08/DEL_PRODUCT/EMSR754_AOI08_DEL_PRODUCT_floodDepthA_v1_VT|EMSR754/AOI08/DEL_PRODUCT/EMSR754_AOI08_DEL_PRODUCT_observedEventA_v1_VT,True,True,flood_product_outside_current_mvp,not_relevant_country_or_aoi_for_mae_sai,False,False,CEMS metadata resolved without product download; AOI does not cover Mae Sai or exact product relevance is not cleared,https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations/?code=EMSR754,2026-07-08T05:45:12Z
EMSR754,Flood in Viet Nam,Viet Nam,2024-09-09T06:00:00,2024-09-11T16:00:00,9,Ninh Binh,105.853089,20.161016,106.097998,20.375303,False,False,1019,EMSR754_AOI09_DEL_PRODUCT_v2.zip,DEL,False,0,2,F,2024-10-09T04:30:59.160411,https://rapidmapping.emergency.copernicus.eu/backend/EMSR754/AOI09/DEL_PRODUCT/EMSR754_AOI09_DEL_PRODUCT_v2.zip,2024-09-14T03:44:00,WorldView-2,EMSR754/AOI09/DEL_PRODUCT/EMSR754_AOI09_DEL_PRODUCT_WORLDVIEW2_20240914_0344_ORTHO.tif|EMSR754/AOI09/DEL_PRODUCT/EMSR754_AOI09_DEL_PRODUCT_floodDepthA_v1_VT|EMSR754/AOI09/DEL_PRODUCT/EMSR754_AOI09_DEL_PRODUCT_observedEventA_v1_VT,True,True,flood_product_outside_current_mvp,not_relevant_country_or_aoi_for_mae_sai,False,False,CEMS metadata resolved without product download; AOI does not cover Mae Sai or exact product relevance is not cleared,https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations/?code=EMSR754,2026-07-08T05:45:12Z
EMSR754,Flood in Viet Nam,Viet Nam,2024-09-09T06:00:00,2024-09-11T16:00:00,10,Hai Duong,106.194551,20.87937,106.386865,21.018698,False,False,1015,EMSR754_AOI10_DEL_PRODUCT_v1.zip,DEL,False,0,1,F,2024-09-14T14:47:33.045655,https://rapidmapping.emergency.copernicus.eu/backend/EMSR754/AOI10/DEL_PRODUCT/EMSR754_AOI10_DEL_PRODUCT_v1.zip,2024-09-14T03:56:00,WorldView-2,EMSR754/AOI10/DEL_PRODUCT/EMSR754_AOI10_DEL_PRODUCT_WORLDVIEW2_20240914_0356_ORTHO.tif|EMSR754/AOI10/DEL_PRODUCT/EMSR754_AOI10_DEL_PRODUCT_floodDepthA_v1_VT|EMSR754/AOI10/DEL_PRODUCT/EMSR754_AOI10_DEL_PRODUCT_observedEventA_v1_VT,True,True,flood_product_outside_current_mvp,not_relevant_country_or_aoi_for_mae_sai,False,False,CEMS metadata resolved without product download; AOI does not cover Mae Sai or exact product relevance is not cleared,https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations/?code=EMSR754,2026-07-08T05:45:12Z
