scene_role,item_id,product_uri,asset,asset_url,file_size_bytes,sha256,scale,offset,source_edition,original_safe_sha256,local_path_hint,processing_baseline,sensing_utc,etag,preregistration_sha256,verified_at_utc
dry,S2B_47QNC_20240905_0_L2A,S2B_MSIL2A_20240905T034539_N0511_R104_T47QNC_20240905T080012.SAFE,blue,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240905_0_L2A/B02.tif,218096139,5ef3970df5afa0c0722a4a2e55e8469b00fd403fbbc9d0b52a86e6e32cd59098,0.0001,-0.1,element84_cog_of_sentinel2_l2a,not_recorded,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240905_0_L2A/blue.tif,05.11,2024-09-05T04:02:45.342000Z,"""3e1a953d6fcfa6a7d3bc2efa578c2472-26""",9067fa37f817c283e908472595dba7fa9e16b36ae8101dce6f887e1ffc51e263,2026-09-24T12:38:11+00:00
dry,S2B_47QNC_20240905_0_L2A,S2B_MSIL2A_20240905T034539_N0511_R104_T47QNC_20240905T080012.SAFE,green,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240905_0_L2A/B03.tif,224435909,bbfead49c36db4cc569ec71504ddd103ed28513c87e354068fa823fa8c1402d1,0.0001,-0.1,element84_cog_of_sentinel2_l2a,not_recorded,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240905_0_L2A/green.tif,05.11,2024-09-05T04:02:45.342000Z,"""b5caf9a35f8920642018b435518c2a9e-27""",9067fa37f817c283e908472595dba7fa9e16b36ae8101dce6f887e1ffc51e263,2026-09-24T12:38:11+00:00
dry,S2B_47QNC_20240905_0_L2A,S2B_MSIL2A_20240905T034539_N0511_R104_T47QNC_20240905T080012.SAFE,nir,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240905_0_L2A/B08.tif,242530994,b432a1802bff06a1ea5215f8b0bf645e2029067b96f6e0f7e8ff9b35a44d31aa,0.0001,-0.1,element84_cog_of_sentinel2_l2a,not_recorded,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240905_0_L2A/nir.tif,05.11,2024-09-05T04:02:45.342000Z,"""2ba002d960d863347828b7d6b2f853d0-29""",9067fa37f817c283e908472595dba7fa9e16b36ae8101dce6f887e1ffc51e263,2026-09-24T12:38:11+00:00
dry,S2B_47QNC_20240905_0_L2A,S2B_MSIL2A_20240905T034539_N0511_R104_T47QNC_20240905T080012.SAFE,nir08,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240905_0_L2A/B8A.tif,63982294,037fc84a88d92571e9df42b4dd85e565fe2c6fecc97539e71a809e79feb5165a,0.0001,-0.1,element84_cog_of_sentinel2_l2a,not_recorded,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240905_0_L2A/nir08.tif,05.11,2024-09-05T04:02:45.342000Z,"""ec42bfef0e15dedb02df5fb9b8d0a5d8-8""",9067fa37f817c283e908472595dba7fa9e16b36ae8101dce6f887e1ffc51e263,2026-09-24T12:38:12+00:00
dry,S2B_47QNC_20240905_0_L2A,S2B_MSIL2A_20240905T034539_N0511_R104_T47QNC_20240905T080012.SAFE,red,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240905_0_L2A/B04.tif,220785832,1a4515d50ab222e6f77b936e8285455ea249701e4563a1f3eadcd112dfd04af2,0.0001,-0.1,element84_cog_of_sentinel2_l2a,not_recorded,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240905_0_L2A/red.tif,05.11,2024-09-05T04:02:45.342000Z,"""4d8b2b8566a4479ff3bf40c48e3f66a4-27""",9067fa37f817c283e908472595dba7fa9e16b36ae8101dce6f887e1ffc51e263,2026-09-24T12:38:11+00:00
dry,S2B_47QNC_20240905_0_L2A,S2B_MSIL2A_20240905T034539_N0511_R104_T47QNC_20240905T080012.SAFE,scl,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240905_0_L2A/SCL.tif,3345372,c33c2de5e59fbb9768776b7449f9193c3843aae51460a3085cfc5cf4c152de3e,,,element84_cog_of_sentinel2_l2a,not_recorded,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240905_0_L2A/scl.tif,05.11,2024-09-05T04:02:45.342000Z,"""183763c48c56a2a5092087c33b6510f2""",9067fa37f817c283e908472595dba7fa9e16b36ae8101dce6f887e1ffc51e263,2026-09-24T12:38:11+00:00
dry,S2B_47QNC_20240905_0_L2A,S2B_MSIL2A_20240905T034539_N0511_R104_T47QNC_20240905T080012.SAFE,swir16,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240905_0_L2A/B11.tif,61345276,24d39dba72cf3f6cd700af6a2506d3c4893e31f52681fe38655be3c4b2c0747f,0.0001,-0.1,element84_cog_of_sentinel2_l2a,not_recorded,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240905_0_L2A/swir16.tif,05.11,2024-09-05T04:02:45.342000Z,"""501686dd3438e9a548bf9a2832bcfc4f-8""",9067fa37f817c283e908472595dba7fa9e16b36ae8101dce6f887e1ffc51e263,2026-09-24T12:38:12+00:00
dry,S2B_47QNC_20240905_0_L2A,S2B_MSIL2A_20240905T034539_N0511_R104_T47QNC_20240905T080012.SAFE,swir22,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240905_0_L2A/B12.tif,60355683,f47ff987ed719c2838301f8c922ed3badd48b6753c2a3d9b80eaa30b033f59b2,0.0001,-0.1,element84_cog_of_sentinel2_l2a,not_recorded,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240905_0_L2A/swir22.tif,05.11,2024-09-05T04:02:45.342000Z,"""166fb53d20871a483a17f838c140c39d-8""",9067fa37f817c283e908472595dba7fa9e16b36ae8101dce6f887e1ffc51e263,2026-09-24T12:38:12+00:00
event,S2B_47QNC_20240915_0_L2A,S2B_MSIL2A_20240915T034529_N0511_R104_T47QNC_20240915T065143.SAFE,blue,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240915_0_L2A/B02.tif,220036077,aa058cecc7643f0384ef363d131ea59c3ba6f415e9e1ab7d6d5ec8824d48a7a8,0.0001,-0.1,element84_cog_of_sentinel2_l2a,not_recorded,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240915_0_L2A/blue.tif,05.11,2024-09-15T04:02:41.830000Z,"""27fd9d0772d1bb96a23aa3cb6ec0bd8d-27""",9067fa37f817c283e908472595dba7fa9e16b36ae8101dce6f887e1ffc51e263,2026-09-24T12:38:11+00:00
event,S2B_47QNC_20240915_0_L2A,S2B_MSIL2A_20240915T034529_N0511_R104_T47QNC_20240915T065143.SAFE,green,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240915_0_L2A/B03.tif,222041166,36e6eae2c783f37842d3cc3c8cee5be5764b275b186c8adfbf109f21aaec8650,0.0001,-0.1,element84_cog_of_sentinel2_l2a,not_recorded,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240915_0_L2A/green.tif,05.11,2024-09-15T04:02:41.830000Z,"""00872b63380ec3eec9adc14fe6c1807d-27""",9067fa37f817c283e908472595dba7fa9e16b36ae8101dce6f887e1ffc51e263,2026-09-24T12:38:11+00:00
