scene_role,item_id,product_uri,asset,asset_url,local_path_hint,file_size_bytes,sha256,source_edition,original_safe_sha256,acquired_at_utc,etag
dry,S2B_47QNC_20240905_0_L2A,S2B_MSIL2A_20240905T034539_N0511_R104_T47QNC_20240905T080012.SAFE,blue,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240905_0_L2A/B02.tif,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240905_0_L2A/blue.tif,218096139,5ef3970df5afa0c0722a4a2e55e8469b00fd403fbbc9d0b52a86e6e32cd59098,element84_cog_of_l2a,not_recorded,2026-09-24T09:57:11+00:00,"""3e1a953d6fcfa6a7d3bc2efa578c2472-26"""
dry,S2B_47QNC_20240905_0_L2A,S2B_MSIL2A_20240905T034539_N0511_R104_T47QNC_20240905T080012.SAFE,green,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240905_0_L2A/B03.tif,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240905_0_L2A/green.tif,224435909,bbfead49c36db4cc569ec71504ddd103ed28513c87e354068fa823fa8c1402d1,element84_cog_of_l2a,not_recorded,2026-09-24T09:57:39+00:00,"""b5caf9a35f8920642018b435518c2a9e-27"""
dry,S2B_47QNC_20240905_0_L2A,S2B_MSIL2A_20240905T034539_N0511_R104_T47QNC_20240905T080012.SAFE,nir,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240905_0_L2A/B08.tif,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240905_0_L2A/nir.tif,242530994,b432a1802bff06a1ea5215f8b0bf645e2029067b96f6e0f7e8ff9b35a44d31aa,element84_cog_of_l2a,not_recorded,2026-09-24T09:58:54+00:00,"""2ba002d960d863347828b7d6b2f853d0-29"""
dry,S2B_47QNC_20240905_0_L2A,S2B_MSIL2A_20240905T034539_N0511_R104_T47QNC_20240905T080012.SAFE,nir08,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240905_0_L2A/B8A.tif,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240905_0_L2A/nir08.tif,63982294,037fc84a88d92571e9df42b4dd85e565fe2c6fecc97539e71a809e79feb5165a,element84_cog_of_l2a,not_recorded,2026-09-24T09:59:55+00:00,"""ec42bfef0e15dedb02df5fb9b8d0a5d8-8"""
dry,S2B_47QNC_20240905_0_L2A,S2B_MSIL2A_20240905T034539_N0511_R104_T47QNC_20240905T080012.SAFE,red,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240905_0_L2A/B04.tif,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240905_0_L2A/red.tif,220785832,1a4515d50ab222e6f77b936e8285455ea249701e4563a1f3eadcd112dfd04af2,element84_cog_of_l2a,not_recorded,2026-09-24T09:57:57+00:00,"""4d8b2b8566a4479ff3bf40c48e3f66a4-27"""
dry,S2B_47QNC_20240905_0_L2A,S2B_MSIL2A_20240905T034539_N0511_R104_T47QNC_20240905T080012.SAFE,scl,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240905_0_L2A/SCL.tif,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240905_0_L2A/scl.tif,3345372,c33c2de5e59fbb9768776b7449f9193c3843aae51460a3085cfc5cf4c152de3e,element84_cog_of_l2a,not_recorded,2026-09-24T10:02:17+00:00,"""183763c48c56a2a5092087c33b6510f2"""
dry,S2B_47QNC_20240905_0_L2A,S2B_MSIL2A_20240905T034539_N0511_R104_T47QNC_20240905T080012.SAFE,swir16,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240905_0_L2A/B11.tif,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240905_0_L2A/swir16.tif,61345276,24d39dba72cf3f6cd700af6a2506d3c4893e31f52681fe38655be3c4b2c0747f,element84_cog_of_l2a,not_recorded,2026-09-24T10:00:36+00:00,"""501686dd3438e9a548bf9a2832bcfc4f-8"""
dry,S2B_47QNC_20240905_0_L2A,S2B_MSIL2A_20240905T034539_N0511_R104_T47QNC_20240905T080012.SAFE,swir22,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240905_0_L2A/B12.tif,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240905_0_L2A/swir22.tif,60355683,f47ff987ed719c2838301f8c922ed3badd48b6753c2a3d9b80eaa30b033f59b2,element84_cog_of_l2a,not_recorded,2026-09-24T10:02:11+00:00,"""166fb53d20871a483a17f838c140c39d-8"""
event,S2B_47QNC_20240915_0_L2A,S2B_MSIL2A_20240915T034529_N0511_R104_T47QNC_20240915T065143.SAFE,blue,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240915_0_L2A/B02.tif,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240915_0_L2A/blue.tif,220036077,aa058cecc7643f0384ef363d131ea59c3ba6f415e9e1ab7d6d5ec8824d48a7a8,element84_cog_of_l2a,not_recorded,2026-09-24T09:41:16+00:00,"""27fd9d0772d1bb96a23aa3cb6ec0bd8d-27"""
event,S2B_47QNC_20240915_0_L2A,S2B_MSIL2A_20240915T034529_N0511_R104_T47QNC_20240915T065143.SAFE,green,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/47/Q/NC/2024/9/S2B_47QNC_20240915_0_L2A/B03.tif,<external_data_workspace>/earth_search/mae_sai_2024/S2B_47QNC_20240915_0_L2A/green.tif,222041166,36e6eae2c783f37842d3cc3c8cee5be5764b275b186c8adfbf109f21aaec8650,element84_cog_of_l2a,not_recorded,2026-09-24T09:43:18+00:00,"""00872b63380ec3eec9adc14fe6c1807d-27"""
