container_name,member_name,member_path_hint,member_kind,library_group,member_size_bytes,member_size_gb,candidate_use,license_status,sha256_status,processing_allowed,reason_blocked
drive-download-20260705T102948Z-3-001.zip,Sentinel1_Thailand-0000023296-0000000000.tif,<input_dir>/drive-download-20260705T102948Z-3-001.zip::Sentinel1_Thailand-0000023296-0000000000.tif,image_tiff,sentinel1_sar,1093959615,1.094,candidate Sentinel-1 SAR context after extraction and checksum review,user_reported_hackathon_free_use,not_recorded,False,zip member cataloged without extraction; checksum not recorded for member; source package remains outside Git
drive-download-20260705T102948Z-3-001.zip,Sentinel1_Thailand-0000000000-0000023296.tif,<input_dir>/drive-download-20260705T102948Z-3-001.zip::Sentinel1_Thailand-0000000000-0000023296.tif,image_tiff,sentinel1_sar,669659124,0.67,candidate Sentinel-1 SAR context after extraction and checksum review,user_reported_hackathon_free_use,not_recorded,False,zip member cataloged without extraction; checksum not recorded for member; source package remains outside Git
drive-download-20260705T102948Z-3-001.zip,Sentinel1_Thailand-0000046592-0000000000.tif,<input_dir>/drive-download-20260705T102948Z-3-001.zip::Sentinel1_Thailand-0000046592-0000000000.tif,image_tiff,sentinel1_sar,321857932,0.322,candidate Sentinel-1 SAR context after extraction and checksum review,user_reported_hackathon_free_use,not_recorded,False,zip member cataloged without extraction; checksum not recorded for member; source package remains outside Git
drive-download-20260705T102948Z-3-001.zip,Sentinel1_Thailand-0000046592-0000023296.tif,<input_dir>/drive-download-20260705T102948Z-3-001.zip::Sentinel1_Thailand-0000046592-0000023296.tif,image_tiff,sentinel1_sar,2785795,0.003,candidate Sentinel-1 SAR context after extraction and checksum review,user_reported_hackathon_free_use,not_recorded,False,zip member cataloged without extraction; checksum not recorded for member; source package remains outside Git
drive-download-20260705T102948Z-3-001.zip,Sentinel1_Thailand-0000023296-0000023296.tif,<input_dir>/drive-download-20260705T102948Z-3-001.zip::Sentinel1_Thailand-0000023296-0000023296.tif,image_tiff,sentinel1_sar,7469029,0.007,candidate Sentinel-1 SAR context after extraction and checksum review,user_reported_hackathon_free_use,not_recorded,False,zip member cataloged without extraction; checksum not recorded for member; source package remains outside Git
drive-download-20260705T104354Z-3-001.zip,CopernicusDEM_Elevation_Slope_Thailand-0000000000-0000000000.tif,<input_dir>/drive-download-20260705T104354Z-3-001.zip::CopernicusDEM_Elevation_Slope_Thailand-0000000000-0000000000.tif,image_tiff,copernicus_dem,1617561432,1.618,candidate elevation/slope context for flood false-positive review and exposure explanation,user_reported_hackathon_free_use,not_recorded,False,zip member cataloged without extraction; checksum not recorded for member; source package remains outside Git
drive-download-20260705T104354Z-3-001.zip,CopernicusDEM_Elevation_Slope_Thailand-0000000000-0000023296.tif,<input_dir>/drive-download-20260705T104354Z-3-001.zip::CopernicusDEM_Elevation_Slope_Thailand-0000000000-0000023296.tif,image_tiff,copernicus_dem,314837612,0.315,candidate elevation/slope context for flood false-positive review and exposure explanation,user_reported_hackathon_free_use,not_recorded,False,zip member cataloged without extraction; checksum not recorded for member; source package remains outside Git
drive-download-20260705T104354Z-3-001.zip,CopernicusDEM_Elevation_Slope_Thailand-0000046592-0000023296.tif,<input_dir>/drive-download-20260705T104354Z-3-001.zip::CopernicusDEM_Elevation_Slope_Thailand-0000046592-0000023296.tif,image_tiff,copernicus_dem,2785799,0.003,candidate elevation/slope context for flood false-positive review and exposure explanation,user_reported_hackathon_free_use,not_recorded,False,zip member cataloged without extraction; checksum not recorded for member; source package remains outside Git
drive-download-20260705T104354Z-3-001.zip,CopernicusDEM_Elevation_Slope_Thailand-0000023296-0000023296.tif,<input_dir>/drive-download-20260705T104354Z-3-001.zip::CopernicusDEM_Elevation_Slope_Thailand-0000023296-0000023296.tif,image_tiff,copernicus_dem,7469033,0.007,candidate elevation/slope context for flood false-positive review and exposure explanation,user_reported_hackathon_free_use,not_recorded,False,zip member cataloged without extraction; checksum not recorded for member; source package remains outside Git
drive-download-20260705T104354Z-3-002.zip,CopernicusDEM_Elevation_Slope_Thailand-0000023296-0000000000.tif,<input_dir>/drive-download-20260705T104354Z-3-002.zip::CopernicusDEM_Elevation_Slope_Thailand-0000023296-0000000000.tif,image_tiff,copernicus_dem,593251494,0.593,candidate elevation/slope context for flood false-positive review and exposure explanation,user_reported_hackathon_free_use,not_recorded,False,zip member cataloged without extraction; checksum not recorded for member; source package remains outside Git
