edge_id,road_id,from_node,to_node,normal_minutes,disrupted_minutes,road_disruption_probability_0_1,candidate_closure_status,subdistrict_id,bridge_flag
MS-EDGE-0000001,23090330,N-99.8824298-20.4043659,N-99.8824347-20.4045324,0.055563,0.067342,0.053,candidate_open_with_delay,TH570906,False
MS-EDGE-0000002,23090330,N-99.8824347-20.4045324,N-99.8824557-20.4052852,0.251208,0.304465,0.053,candidate_open_with_delay,TH570906,False
MS-EDGE-0000003,23090330,N-99.8824557-20.4052852,N-99.8820120-20.4052946,0.138759,0.168176,0.053,candidate_open_with_delay,TH570906,False
MS-EDGE-0000004,23090330,N-99.8820120-20.4052946,N-99.8819702-20.4045474,0.249597,0.302511,0.053,candidate_open_with_delay,TH570906,False
MS-EDGE-0000005,23090330,N-99.8819702-20.4045474,N-99.8819603-20.4043698,0.059325,0.071902,0.053,candidate_open_with_delay,TH570906,False
MS-EDGE-0000006,23090330,N-99.8819603-20.4043698,N-99.8819607-20.4042811,0.029589,0.035862,0.053,candidate_open_with_delay,TH570906,False
MS-EDGE-0000007,32226492,N-99.8794303-20.4418759,N-99.8795878-20.4418803,0.039402,0.047756,0.053,candidate_open_with_delay,TH570906,False
MS-EDGE-0000008,32226492,N-99.8795878-20.4418803,N-99.8796129-20.4418810,0.006279,0.007611,0.053,candidate_open_with_delay,TH570906,False
MS-EDGE-0000009,32226492,N-99.8796129-20.4418810,N-99.8799538-20.4419090,0.085573,0.103715,0.053,candidate_open_with_delay,TH570906,False
MS-EDGE-0000010,32226492,N-99.8799538-20.4419090,N-99.8801519-20.4419252,0.049726,0.060267,0.053,candidate_open_with_delay,TH570906,False
MS-EDGE-0000011,32226492,N-99.8801519-20.4419252,N-99.8803922-20.4419671,0.061121,0.074079,0.053,candidate_open_with_delay,TH570906,False
MS-EDGE-0000012,32226492,N-99.8803922-20.4419671,N-99.8807430-20.4420531,0.090674,0.109897,0.053,candidate_open_with_delay,TH570906,False
MS-EDGE-0000013,32226492,N-99.8807430-20.4420531,N-99.8808327-20.4420756,0.02322,0.028143,0.053,candidate_open_with_delay,TH570906,False
MS-EDGE-0000014,32226492,N-99.8808327-20.4420756,N-99.8809957-20.4421284,0.043127,0.05227,0.053,candidate_open_with_delay,TH570906,False
MS-EDGE-0000015,40188627,N-100.0003134-20.3699297,N-100.0003270-20.3696630,0.035627,,0.365,candidate_closed,TH570905,False
MS-EDGE-0000016,40188627,N-100.0003270-20.3696630,N-100.0004414-20.3688797,0.105494,,0.365,candidate_closed,TH570905,False
MS-EDGE-0000017,40188627,N-100.0004414-20.3688797,N-100.0004537-20.3687208,0.021258,,0.365,candidate_closed,TH570905,False
MS-EDGE-0000018,40188627,N-100.0004537-20.3687208,N-100.0004579-20.3686315,0.011927,,0.365,candidate_closed,TH570905,False
