unit_id,feature_name,baseline_score_0_100,perturbed_score_0_100,score_delta,monotonicity_passed,source_timestamp,confidence_class,assumptions
FG-TB-001,global_flood_history_0_1,87.45,87.63,0.18,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-001,jrc_water_occurrence_0_1,87.45,87.59,0.14,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-001,jrc_water_seasonality_0_1,87.45,87.51,0.06,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-001,jrc_water_change_0_1,87.45,87.49,0.04,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-001,elevation_susceptibility_0_1,87.45,87.56,0.11,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-001,slope_susceptibility_0_1,87.45,87.56,0.11,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-001,worldcover_flood_proneness_0_1,87.45,87.53,0.08,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-001,river_proximity_0_1,87.45,87.53,0.08,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-001,drainage_density_0_1,87.45,87.5,0.05,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-001,catchment_wetness_0_1,87.45,87.51,0.06,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-001,soil_runoff_potential_0_1,87.45,87.49,0.04,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-001,rainfall_climatology_0_1,87.45,87.5,0.05,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-002,global_flood_history_0_1,66.28,66.46,0.18,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-002,jrc_water_occurrence_0_1,66.28,66.42,0.14,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-002,jrc_water_seasonality_0_1,66.28,66.34,0.06,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-002,jrc_water_change_0_1,66.28,66.32,0.04,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-002,elevation_susceptibility_0_1,66.28,66.39,0.11,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-002,slope_susceptibility_0_1,66.28,66.39,0.11,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-002,worldcover_flood_proneness_0_1,66.28,66.36,0.08,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-002,river_proximity_0_1,66.28,66.36,0.08,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-002,drainage_density_0_1,66.28,66.33,0.05,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-002,catchment_wetness_0_1,66.28,66.34,0.06,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-002,soil_runoff_potential_0_1,66.28,66.32,0.04,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-002,rainfall_climatology_0_1,66.28,66.33,0.05,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
