source_name,file_name,local_path_hint,entry_kind,container_name,zip_member_count,zip_categories,category,file_size_bytes,file_size_gb,acquisition_date,acquisition_time_utc,processing_level,sensor_product,tile_id,sequence_id,tiff_version,image_width,image_height,samples_per_pixel,bits_per_sample,compression,pixel_size_m,crs_hint,bbox_lon_min,bbox_lat_min,bbox_lon_max,bbox_lat_max,mvp_overlap,floodguard_relevance,license_status,sha256_status,processing_allowed,reason_blocked
THEOS-2 hackathon sample imagery,IMG_T2V_20240131033325_ORTHO_PMS_32-011.tif,<input_dir>/IMG_T2V_20240131033325_ORTHO_PMS_32-011.tif,image_tiff,,,,Agri,3015397063,3.015,20240131,033325,ORTHO,PMS,32,011,BigTIFF,12745,29368,4,16|16|16|16,1,0.5,WGS84 / UTM Zone 47N,101.855428,12.787814,101.915599,12.919784,none_of_current_mvp_points,"useful for land-cover, exposure, and visual-context methods after license gates",hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,IMG_T2V_20240131033325_ORTHO_PMS_32_2-008.tif,<input_dir>/IMG_T2V_20240131033325_ORTHO_PMS_32_2-008.tif,image_tiff,,,,Agri,3739091137,3.739,20240131,033325,ORTHO,PMS,32_2,008,BigTIFF,15830,29368,4,16|16|16|16,1,0.5,WGS84 / UTM Zone 47N,101.855428,12.787814,101.9298,12.919625,none_of_current_mvp_points,"useful for land-cover, exposure, and visual-context methods after license gates",hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,IMG_T2V_20240821033931_ORTHO_PMS_32-016.tif,<input_dir>/IMG_T2V_20240821033931_ORTHO_PMS_32-016.tif,image_tiff,,,,Coastal|Miscellaneous,4959669376,4.96,20240821,033931,ORTHO,PMS,32,016,BigTIFF,24892,24740,4,16|16|16|16,1,0.5,WGS84 / UTM Zone 47N,99.556063,7.156422,99.668942,7.268162,none_of_current_mvp_points,"useful for land-cover, exposure, and visual-context methods after license gates",hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,IMG_T2V_20240821033931_ORTHO_PMS_32-020.tif,<input_dir>/IMG_T2V_20240821033931_ORTHO_PMS_32-020.tif,image_tiff,,,,Coastal|Miscellaneous,4959669383,4.96,20240821,033931,ORTHO,PMS,32,020,BigTIFF,24892,24740,4,16|16|16|16,1,0.5,WGS84 / UTM Zone 47N,99.556063,7.156422,99.668942,7.268162,none_of_current_mvp_points,"useful for land-cover, exposure, and visual-context methods after license gates",hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,IMG_T2V_20241012033956_ORTHO_PMS_32_2-025.tif,<input_dir>/IMG_T2V_20241012033956_ORTHO_PMS_32_2-025.tif,image_tiff,,,,Agri|Urban,3584650621,3.585,20241012,033956,ORTHO,PMS,32_2,025,BigTIFF,23700,18695,4,16|16|16|16,1,0.5,WGS84 / UTM Zone 47N,100.513173,13.908596,100.623411,13.992377,none_of_current_mvp_points,"useful for land-cover, exposure, and visual-context methods after license gates",hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,IMG_T2V_20241203033748_ORTHO_PMS_32-015.tif,<input_dir>/IMG_T2V_20241203033748_ORTHO_PMS_32-015.tif,image_tiff,,,,Coastal|Urban,5139675161,5.14,20241203,033748,ORTHO,PMS,32,015,BigTIFF,25176,25348,4,16|16|16|16,1,0.5,WGS84 / UTM Zone 47N,100.819231,12.635591,100.935949,12.749319,none_of_current_mvp_points,"useful for land-cover, exposure, and visual-context methods after license gates",hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,IMG_T2V_20241203033748_ORTHO_PMS_32-021.tif,<input_dir>/IMG_T2V_20241203033748_ORTHO_PMS_32-021.tif,image_tiff,,,,Coastal|Urban,5139675167,5.14,20241203,033748,ORTHO,PMS,32,021,BigTIFF,25176,25348,4,16|16|16|16,1,0.5,WGS84 / UTM Zone 47N,100.819231,12.635591,100.935949,12.749319,none_of_current_mvp_points,"useful for land-cover, exposure, and visual-context methods after license gates",hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,IMG_T2V_20241203033748_ORTHO_PMS_32_2-013.tif,<input_dir>/IMG_T2V_20241203033748_ORTHO_PMS_32_2-013.tif,image_tiff,,,,Coastal,5139675167,5.14,20241203,033748,ORTHO,PMS,32_2,013,BigTIFF,25176,25348,4,16|16|16|16,1,0.5,WGS84 / UTM Zone 47N,100.819231,12.635591,100.935949,12.749319,none_of_current_mvp_points,"useful for land-cover, exposure, and visual-context methods after license gates",hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,IMG_T2V_20241219034659_ORTHO_PMS_32-024.tif,<input_dir>/IMG_T2V_20241219034659_ORTHO_PMS_32-024.tif,image_tiff,,,,Urban,4728139712,4.728,20241219,034659,ORTHO,PMS,32,024,BigTIFF,23468,25045,4,16|16|16|16,1,0.5,WGS84 / UTM Zone 47N,100.492566,13.779776,100.601856,13.892279,none_of_current_mvp_points,"useful for land-cover, exposure, and visual-context methods after license gates",hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,IMG_T2V_20250603033815_PRIMARY_PMS_32-028.TIF,<input_dir>/IMG_T2V_20250603033815_PRIMARY_PMS_32-028.TIF,image_tiff,,,,RAW Data (PAN+MS),3345775741,3.346,20250603,033815,PRIMARY,PMS,32,028,ClassicTIFF,20481,20417,4,16|16|16|16,1,,,,,,,unknown_no_bbox,generic THEOS-2 optical sample; not a current Mae Sai/Hat Yai validation input,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,IMG_T2V_20250730033331_ORTHO_PMS_32-004.tif,<input_dir>/IMG_T2V_20250730033331_ORTHO_PMS_32-004.tif,image_tiff,,,,Disaster,8095939271,8.096,20250730,033331,ORTHO,PMS,32,004,BigTIFF,31708,31812,4,16|16|16|16,1,0.5,WGS84 / UTM Zone 47N,99.734272,16.961463,99.883844,17.104638,none_of_current_mvp_points,THEOS-2 disaster sample; useful for optical context and future optical-water experiments,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
