event_id,window_id,window_label,window_start,window_end,aoi_ids,aoi_cloud_limit_pct,portal_scene_cloud_filter_pct,adjustment,wanted_dates,n_wanted_dates,max_scene_cloud_pct,dates_lost_if_aoi_limit_used,n_dates_lost
mae_sai_2024,W1-pre-immediate,Immediate pre-event baseline,2024-09-01,2024-09-08,AOI-01 AOI-02,40,40,unchanged,2024-09-05,1,38.1,,0
mae_sai_2024,W2-event,Flood event window,2024-09-09,2024-09-30,AOI-01 AOI-02,95,95,unchanged,2024-09-30,1,85.1,,0
mae_sai_2024,W3-post,Post-event clear baseline,2025-01-05,2025-01-31,AOI-01 AOI-02,10,45,raise_from_10_to_45,2025-01-13 2025-01-18 2025-01-23 2025-01-28,4,41.9,2025-01-28,1
mae_sai_2024,W4-post-early,Early post-event baseline,2024-11-01,2024-11-20,AOI-01 AOI-02,10,40,raise_from_10_to_40,2024-11-04 2024-11-14 2024-11-19,3,38.0,2024-11-04 2024-11-19,2
hat_yai_2025,W1-event,Flood event window,2025-11-28,2025-12-08,AOI-03 AOI-04,70,70,unchanged,2025-12-01 2025-12-03,2,27.9,,0
hat_yai_2025,W2-pre,Pre-event clear baseline,2025-03-25,2025-04-05,AOI-03 AOI-04,15,25,raise_from_15_to_25,2025-03-31,1,23.0,2025-03-31,1
hat_yai_2025,W3-post,Post-event clear baseline,2026-03-15,2026-04-15,AOI-03 AOI-04,10,30,raise_from_10_to_30,2026-03-21 2026-03-26 2026-04-05 2026-04-12,4,25.4,2026-03-26 2026-04-05 2026-04-12,3
chao_phraya_2024,W1-event-2024,Flood event window 2024,2024-10-07,2024-11-15,AOI-05 AOI-06,25,75,raise_from_25_to_75,2024-10-07 2024-10-12 2024-10-17 2024-11-01 2024-11-11,5,74.8,2024-10-07 2024-10-12 2024-10-17,3
chao_phraya_2024,W2-event-2025,Flood event window 2025,2025-10-15,2025-11-20,AOI-05 AOI-06,70,90,raise_from_70_to_90,2025-10-17 2025-10-22 2025-10-24 2025-11-13 2025-11-16,5,88.7,2025-10-24 2025-11-13,2
chao_phraya_2024,W3-dry,Dry-season clear baseline,2025-01-15,2025-02-20,AOI-05 AOI-06,10,55,raise_from_10_to_55,2025-01-15 2025-01-20 2025-01-25 2025-01-30 2025-02-04 2025-02-09 2025-02-14 2025-02-19,8,51.0,2025-01-20 2025-01-25 2025-01-30 2025-02-04 2025-02-19,5
